t x y z
1039 -2 0 10
1040 -2 -1 9
1041 -2 -1 10
1042 -3 -1 10
1043 -2 -1 10
1044 -2 0 10
1045 -2 -1 11
1046 -2 -1 11
1047 -2 -1 11
1048 -2 0 10
1049 -1 1 10
1050 -1 1 9
1051 0 1 9
1052 -1 1 9
1053 -1 1 9
1054 -1 1 9
1055 1 2 9
1056 0 2 9
1057 -1 2 8
1058 -1 1 8
1059 -1 1 9
1060 -1 1 10
1061 -1 1 10
1062 -3 -1 10
1063 -3 -1 10
1064 -2 1 10
1065 -1 1 11
1066 -2 1 11
1067 -2 1 12
1068 -1 2 12
1069 -1 1 12
1070 -2 0 12
1071 -2 -1 13
1072 -2 -1 12
1073 -2 -2 11
1074 -2 -2 10
1075 -1 -1 11
1076 1 1 11
1077 0 1 9
1078 -1 1 8
1079 -2 1 8
1080 -2 2 8
1081 -3 2 8
1082 -4 3 9
1083 -4 4 10
1084 -5 4 11
1085 -5 3 11
1086 -5 3 11
1087 -5 3 10
1088 -4 4 10
1089 -4 5 10
1090 -5 5 10
1091 -4 5 10
1092 -4 5 10
1093 -3 6 10
1094 -3 6 10
1095 -3 7 8
1096 -3 7 7
1097 -4 7 6
1098 -4 7 6
1099 -4 7 6
1100 -4 7 6
1101 -5 7 7
1102 -4 7 8
1103 -3 7 8
1104 -3 8 8
1105 -3 7 9
1106 -4 6 9
1107 -3 7 9
1108 -4 6 10
1109 -6 4 10
1110 -6 2 9
1111 -5 4 9
1112 -4 4 9
1113 -5 3 8
1114 -6 3 7
1115 -6 3 6
1116 -6 4 3
1117 -5 5 2
1118 -5 5 4
1119 -5 4 6
1120 -5 5 6
1121 -5 5 7
1122 -5 5 9
1123 -6 6 10
1124 -6 6 9
1125 -5 6 9
1126 -5 6 9
1127 -5 6 9
1128 -4 6 7
1129 -5 6 7
1130 -5 5 8
1131 -4 5 9
1132 -3 4 10
1133 -2 4 10
1134 -1 4 10
1135 -1 5 11
1136 -1 5 12
1137 -1 5 12
1138 -2 6 12
1139 -2 5 13
1140 -3 5 13
1141 -3 5 12
1142 -3 4 12
1143 -4 3 11
1144 -3 3 8
1145 -2 2 10
1146 -3 1 11
1147 -4 1 10
1148 -4 2 8
1149 -5 1 7
1150 -5 -1 7
1151 -4 -1 7
1152 -3 -1 8
1153 -3 -1 9
1154 -3 -2 10
1155 -2 -1 10
1156 -1 1 11
1157 -3 -1 11
1158 -3 -2 10
1159 -2 -1 8
1160 -2 -2 9
1161 -2 -3 10
1162 -2 -3 10
1163 -1 -3 10
1164 1 -2 10
1165 1 -2 11
1166 0 -2 11
1167 -1 -2 11
1168 1 -2 11
1169 1 -2 10
1170 1 -3 10
1171 1 -3 9
1172 1 -3 9
1173 2 -2 10
1174 2 -3 10
1175 2 -3 10
1176 2 -3 10
1177 2 -3 10
1178 2 -3 10
1179 3 -2 10
1180 3 -1 10
1181 4 -1 11
1182 3 -1 11
1183 3 -1 11
1184 3 -1 11
1185 3 -2 11
1186 2 -2 11
1187 2 -2 11
1188 2 -2 11
1189 2 -2 10
1190 2 -2 10
1191 1 -2 11
1192 2 -2 10
1193 1 -1 10
1194 1 -2 10
1195 -1 -2 10
1196 1 -2 9
1197 1 -2 9
1198 1 -2 10
1199 1 -3 10
1200 2 -3 10
1201 2 -3 10
1202 2 -3 10
1203 1 -3 10
1204 2 -3 10
