x y C
22 30 7.0
22 31 13.0
22 32 13.0
22 33 9.0
22 34 9.0
22 35 2.0
22 36 4.0
22 37 5.0
22 38 9.0
22 39 13.0
22 40 16.0
22 41 20.0
22 42 25.0
22 43 29.0
22 44 25.0
22 45 26.0
22 46 32.0
22 47 41.0
23 0 29.0
23 1 16.0
23 2 27.0
23 3 32.0
23 4 18.0
23 5 22.0
23 6 32.0
23 7 45.0
23 8 44.0
23 9 50.0
23 10 55.0
23 11 60.0
23 12 59.0
23 13 64.0
23 14 65.0
23 15 54.0
23 16 56.0
23 17 50.0
23 18 46.0
23 19 50.0
23 20 36.0
23 21 34.0
23 22 31.0
23 23 20.0
23 24 17.0
23 25 10.0
23 26 4.0
23 27 6.0
23 28 13.0
23 29 12.0
23 30 1.0
23 31 5.0
23 32 5.0
23 33 1.0
23 34 1.0
23 35 6.0
23 36 12.0
23 37 13.0
23 38 17.0
23 39 21.0
23 40 24.0
23 41 28.0
23 42 33.0
23 43 37.0
23 44 33.0
23 45 34.0
23 46 40.0
23 47 49.0
24 0 33.0
24 1 20.0
24 2 31.0
24 3 36.0
24 4 22.0
24 5 26.0
24 6 36.0
24 7 49.0
24 8 48.0
24 9 54.0
24 10 59.0
24 11 64.0
24 12 63.0
24 13 68.0
24 14 69.0
24 15 58.0
24 16 60.0
24 17 54.0
24 18 50.0
24 19 54.0
24 20 40.0
24 21 38.0
24 22 35.0
24 23 24.0
24 24 21.0
24 25 14.0
24 26 8.0
24 27 10.0
24 28 17.0
24 29 16.0
24 30 5.0
24 31 1.0
24 32 1.0
24 33 3.0
24 34 3.0
24 35 10.0
24 36 16.0
24 37 17.0
24 38 21.0
24 39 25.0
24 40 28.0
24 41 32.0
24 42 37.0
24 43 41.0
24 44 37.0
24 45 38.0
24 46 44.0
24 47 53.0
25 0 32.0
25 1 19.0
25 2 30.0
25 3 35.0
25 4 21.0
25 5 25.0
25 6 35.0
25 7 48.0
25 8 47.0
25 9 53.0
25 10 58.0
25 11 63.0
