x y fscore
0.843 0.422 0.703
0.733 0.604 0.703
0.862 0.404 0.703
0.879 0.389 0.703
0.839 0.426 0.702
0.879 0.389 0.702
0.804 0.465 0.702
0.792 0.483 0.702
0.845 0.418 0.702
0.727 0.616 0.702
0.753 0.552 0.701
0.777 0.505 0.701
0.777 0.503 0.701
0.777 0.503 0.701
0.844 0.416 0.700
0.799 0.469 0.700
0.775 0.504 0.700
0.850 0.410 0.700
0.787 0.484 0.700
0.846 0.413 0.699
0.787 0.483 0.699
0.856 0.404 0.699
0.857 0.402 0.699
0.857 0.402 0.699
0.821 0.438 0.699
0.843 0.415 0.698
0.842 0.415 0.698
0.729 0.597 0.698
0.841 0.415 0.697
0.717 0.629 0.697
0.824 0.431 0.697
0.779 0.491 0.697
0.782 0.486 0.697
0.778 0.490 0.697
0.743 0.557 0.696
0.823 0.430 0.696
0.730 0.587 0.696
0.896 0.368 0.696
0.749 0.542 0.696
0.821 0.431 0.695
0.801 0.454 0.695
0.858 0.394 0.695
0.815 0.437 0.694
0.842 0.408 0.694
0.841 0.409 0.694
0.842 0.408 0.694
0.893 0.367 0.694
0.737 0.560 0.694
0.841 0.407 0.693
0.837 0.410 0.693
0.856 0.393 0.693
0.725 0.586 0.693
0.862 0.388 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.853 0.394 0.692
0.829 0.417 0.692
0.855 0.393 0.692
0.738 0.552 0.692
0.821 0.425 0.692
0.728 0.575 0.691
0.770 0.491 0.691
0.820 0.424 0.691
0.728 0.575 0.691
0.820 0.423 0.691
0.838 0.405 0.690
0.735 0.556 0.690
0.806 0.438 0.690
0.720 0.592 0.690
0.724 0.579 0.690
0.808 0.434 0.689
0.849 0.393 0.689
0.841 0.400 0.689
0.823 0.417 0.689
0.704 0.633 0.689
0.848 0.393 0.688
0.809 0.430 0.688
0.839 0.400 0.688
0.839 0.400 0.688
0.839 0.400 0.688
0.775 0.475 0.688
0.725 0.570 0.687
0.868 0.375 0.687
0.748 0.518 0.687
0.950 0.326 0.687
0.864 0.377 0.687
0.845 0.392 0.687
0.838 0.399 0.686
0.853 0.386 0.686
0.766 0.485 0.686
0.802 0.435 0.686
0.841 0.395 0.686
0.885 0.361 0.686
0.717 0.584 0.686
0.810 0.425 0.686
0.724 0.565 0.685
0.762 0.488 0.685
0.717 0.582 0.685
0.727 0.556 0.685
0.831 0.402 0.685
0.773 0.470 0.685
0.751 0.507 0.685
0.762 0.487 0.685
0.848 0.387 0.684
0.811 0.421 0.684
0.812 0.420 0.684
0.826 0.405 0.684
0.777 0.462 0.684
0.722 0.565 0.684
0.929 0.333 0.684
0.814 0.417 0.684
0.720 0.568 0.683
0.839 0.392 0.683
0.773 0.467 0.683
0.805 0.425 0.683
0.837 0.393 0.683
0.797 0.434 0.683
0.764 0.479 0.682
0.839 0.390 0.682
0.832 0.397 0.682
0.761 0.482 0.682
0.761 0.482 0.682
0.708 0.596 0.682
0.778 0.455 0.682
0.773 0.462 0.681
0.837 0.391 0.681
0.718 0.565 0.681
0.763 0.477 0.681
0.933 0.327 0.681
0.845 0.383 0.681
0.808 0.418 0.681
0.784 0.445 0.680
0.820 0.404 0.680
0.772 0.461 0.680
0.833 0.392 0.680
0.826 0.397 0.680
0.702 0.603 0.680
0.749 0.495 0.679
0.819 0.404 0.679
0.824 0.398 0.679
0.798 0.425 0.679
0.814 0.408 0.679
0.841 0.383 0.679
0.744 0.502 0.678
0.815 0.406 0.678
0.724 0.542 0.678
0.816 0.404 0.678
0.865 0.363 0.678
0.838 0.384 0.678
0.838 0.384 0.678
0.838 0.384 0.678
0.838 0.384 0.678
